material,quantidade,estoque mínimo,categoria,corredor,armário,prateleira,observação
Produto 2305,2405,10,Cat5,A0,05,05,Item de teste 2305
Produto 2306,2406,10,Cat6,A1,06,06,Item de teste 2306
Produto 2307,2407,10,Cat7,A2,07,07,Item de teste 2307
Produto 2308,2408,10,Cat8,A3,08,08,Item de teste 2308
Produto 2309,2409,10,Cat9,A4,09,09,Item de teste 2309
Produto 2310,2410,10,Cat0,A0,10,00,Item de teste 2310
Produto 2311,2411,10,Cat1,A1,11,01,Item de teste 2311
Produto 2312,2412,10,Cat2,A2,12,02,Item de teste 2312
Produto 2313,2413,10,Cat3,A3,13,03,Item de teste 2313
Produto 2314,2414,10,Cat4,A4,14,04,Item de teste 2314
Produto 2315,2415,10,Cat5,A0,15,05,Item de teste 2315
Produto 2316,2416,10,Cat6,A1,16,06,Item de teste 2316
Produto 2317,2417,10,Cat7,A2,17,07,Item de teste 2317
Produto 2318,2418,10,Cat8,A3,18,08,Item de teste 2318
Produto 2319,2419,10,Cat9,A4,19,09,Item de teste 2319
Produto 2320,2420,10,Cat0,A0,00,00,Item de teste 2320
Produto 2321,2421,10,Cat1,A1,01,01,Item de teste 2321
Produto 2322,2422,10,Cat2,A2,02,02,Item de teste 2322
Produto 2323,2423,10,Cat3,A3,03,03,Item de teste 2323
Produto 2324,2424,10,Cat4,A4,04,04,Item de teste 2324
Produto 2325,2425,10,Cat5,A0,05,05,Item de teste 2325
Produto 2326,2426,10,Cat6,A1,06,06,Item de teste 2326
Produto 2327,2427,10,Cat7,A2,07,07,Item de teste 2327
Produto 2328,2428,10,Cat8,A3,08,08,Item de teste 2328
Produto 2329,2429,10,Cat9,A4,09,09,Item de teste 2329
Produto 2330,2430,10,Cat0,A0,10,00,Item de teste 2330
Produto 2331,2431,10,Cat1,A1,11,01,Item de teste 2331
Produto 2332,2432,10,Cat2,A2,12,02,Item de teste 2332
Produto 2333,2433,10,Cat3,A3,13,03,Item de teste 2333
Produto 2334,2434,10,Cat4,A4,14,04,Item de teste 2334
Produto 2335,2435,10,Cat5,A0,15,05,Item de teste 2335
Produto 2336,2436,10,Cat6,A1,16,06,Item de teste 2336
Produto 2337,2437,10,Cat7,A2,17,07,Item de teste 2337
Produto 2338,2438,10,Cat8,A3,18,08,Item de teste 2338
Produto 2339,2439,10,Cat9,A4,19,09,Item de teste 2339
Produto 2340,2440,10,Cat0,A0,00,00,Item de teste 2340
Produto 2341,2441,10,Cat1,A1,01,01,Item de teste 2341
Produto 2342,2442,10,Cat2,A2,02,02,Item de teste 2342
Produto 2343,2443,10,Cat3,A3,03,03,Item de teste 2343
Produto 2344,2444,10,Cat4,A4,04,04,Item de teste 2344
Produto 2345,2445,10,Cat5,A0,05,05,Item de teste 2345
Produto 2346,2446,10,Cat6,A1,06,06,Item de teste 2346
Produto 2347,2447,10,Cat7,A2,07,07,Item de teste 2347
Produto 2348,2448,10,Cat8,A3,08,08,Item de teste 2348
Produto 2349,2449,10,Cat9,A4,09,09,Item de teste 2349
Produto 2350,2450,10,Cat0,A0,10,00,Item de teste 2350
Produto 2351,2451,10,Cat1,A1,11,01,Item de teste 2351
Produto 2352,2452,10,Cat2,A2,12,02,Item de teste 2352
Produto 2353,2453,10,Cat3,A3,13,03,Item de teste 2353
Produto 2354,2454,10,Cat4,A4,14,04,Item de teste 2354
Produto 2355,2455,10,Cat5,A0,15,05,Item de teste 2355
Produto 2356,2456,10,Cat6,A1,16,06,Item de teste 2356
Produto 2357,2457,10,Cat7,A2,17,07,Item de teste 2357
Produto 2358,2458,10,Cat8,A3,18,08,Item de teste 2358
Produto 2359,2459,10,Cat9,A4,19,09,Item de teste 2359
Produto 2360,2460,10,Cat0,A0,00,00,Item de teste 2360
Produto 2361,2461,10,Cat1,A1,01,01,Item de teste 2361
Produto 2362,2462,10,Cat2,A2,02,02,Item de teste 2362
Produto 2363,2463,10,Cat3,A3,03,03,Item de teste 2363
Produto 2364,2464,10,Cat4,A4,04,04,Item de teste 2364
Produto 2365,2465,10,Cat5,A0,05,05,Item de teste 2365
Produto 2366,2466,10,Cat6,A1,06,06,Item de teste 2366
Produto 2367,2467,10,Cat7,A2,07,07,Item de teste 2367
Produto 2368,2468,10,Cat8,A3,08,08,Item de teste 2368
Produto 2369,2469,10,Cat9,A4,09,09,Item de teste 2369
Produto 2370,2470,10,Cat0,A0,10,00,Item de teste 2370
Produto 2371,2471,10,Cat1,A1,11,01,Item de teste 2371
Produto 2372,2472,10,Cat2,A2,12,02,Item de teste 2372
Produto 2373,2473,10,Cat3,A3,13,03,Item de teste 2373
Produto 2374,2474,10,Cat4,A4,14,04,Item de teste 2374
Produto 2375,2475,10,Cat5,A0,15,05,Item de teste 2375
Produto 2376,2476,10,Cat6,A1,16,06,Item de teste 2376
Produto 2377,2477,10,Cat7,A2,17,07,Item de teste 2377
Produto 2378,2478,10,Cat8,A3,18,08,Item de teste 2378
Produto 2379,2479,10,Cat9,A4,19,09,Item de teste 2379
Produto 2380,2480,10,Cat0,A0,00,00,Item de teste 2380
Produto 2381,2481,10,Cat1,A1,01,01,Item de teste 2381
Produto 2382,2482,10,Cat2,A2,02,02,Item de teste 2382
Produto 2383,2483,10,Cat3,A3,03,03,Item de teste 2383
Produto 2384,2484,10,Cat4,A4,04,04,Item de teste 2384
Produto 2385,2485,10,Cat5,A0,05,05,Item de teste 2385
Produto 2386,2486,10,Cat6,A1,06,06,Item de teste 2386
Produto 2387,2487,10,Cat7,A2,07,07,Item de teste 2387
Produto 2388,2488,10,Cat8,A3,08,08,Item de teste 2388
Produto 2389,2489,10,Cat9,A4,09,09,Item de teste 2389
Produto 2390,2490,10,Cat0,A0,10,00,Item de teste 2390
Produto 2391,2491,10,Cat1,A1,11,01,Item de teste 2391
Produto 2392,2492,10,Cat2,A2,12,02,Item de teste 2392
Produto 2393,2493,10,Cat3,A3,13,03,Item de teste 2393
Produto 2394,2494,10,Cat4,A4,14,04,Item de teste 2394
Produto 2395,2495,10,Cat5,A0,15,05,Item de teste 2395
Produto 2396,2496,10,Cat6,A1,16,06,Item de teste 2396
Produto 2397,2497,10,Cat7,A2,17,07,Item de teste 2397
Produto 2398,2498,10,Cat8,A3,18,08,Item de teste 2398
Produto 2399,2499,10,Cat9,A4,19,09,Item de teste 2399
Produto 2400,2500,10,Cat0,A0,00,00,Item de teste 2400
Produto 2401,2501,10,Cat1,A1,01,01,Item de teste 2401
Produto 2402,2502,10,Cat2,A2,02,02,Item de teste 2402
Produto 2403,2503,10,Cat3,A3,03,03,Item de teste 2403
Produto 2404,2504,10,Cat4,A4,04,04,Item de teste 2404
Produto 2405,2505,10,Cat5,A0,05,05,Item de teste 2405
Produto 2406,2506,10,Cat6,A1,06,06,Item de teste 2406
Produto 2407,2507,10,Cat7,A2,07,07,Item de teste 2407
Produto 2408,2508,10,Cat8,A3,08,08,Item de teste 2408
Produto 2409,2509,10,Cat9,A4,09,09,Item de teste 2409
Produto 2410,2510,10,Cat0,A0,10,00,Item de teste 2410
Produto 2411,2511,10,Cat1,A1,11,01,Item de teste 2411
Produto 2412,2512,10,Cat2,A2,12,02,Item de teste 2412
Produto 2413,2513,10,Cat3,A3,13,03,Item de teste 2413
Produto 2414,2514,10,Cat4,A4,14,04,Item de teste 2414
Produto 2415,2515,10,Cat5,A0,15,05,Item de teste 2415
Produto 2416,2516,10,Cat6,A1,16,06,Item de teste 2416
Produto 2417,2517,10,Cat7,A2,17,07,Item de teste 2417
Produto 2418,2518,10,Cat8,A3,18,08,Item de teste 2418
Produto 2419,2519,10,Cat9,A4,19,09,Item de teste 2419
Produto 2420,2520,10,Cat0,A0,00,00,Item de teste 2420
Produto 2421,2521,10,Cat1,A1,01,01,Item de teste 2421
Produto 2422,2522,10,Cat2,A2,02,02,Item de teste 2422
Produto 2423,2523,10,Cat3,A3,03,03,Item de teste 2423
Produto 2424,2524,10,Cat4,A4,04,04,Item de teste 2424
Produto 2425,2525,10,Cat5,A0,05,05,Item de teste 2425
Produto 2426,2526,10,Cat6,A1,06,06,Item de teste 2426
Produto 2427,2527,10,Cat7,A2,07,07,Item de teste 2427
Produto 2428,2528,10,Cat8,A3,08,08,Item de teste 2428
Produto 2429,2529,10,Cat9,A4,09,09,Item de teste 2429
Produto 2430,2530,10,Cat0,A0,10,00,Item de teste 2430
Produto 2431,2531,10,Cat1,A1,11,01,Item de teste 2431
Produto 2432,2532,10,Cat2,A2,12,02,Item de teste 2432
Produto 2433,2533,10,Cat3,A3,13,03,Item de teste 2433
Produto 2434,2534,10,Cat4,A4,14,04,Item de teste 2434
Produto 2435,2535,10,Cat5,A0,15,05,Item de teste 2435
Produto 2436,2536,10,Cat6,A1,16,06,Item de teste 2436
Produto 2437,2537,10,Cat7,A2,17,07,Item de teste 2437
Produto 2438,2538,10,Cat8,A3,18,08,Item de teste 2438
Produto 2439,2539,10,Cat9,A4,19,09,Item de teste 2439
Produto 2440,2540,10,Cat0,A0,00,00,Item de teste 2440
Produto 2441,2541,10,Cat1,A1,01,01,Item de teste 2441
Produto 2442,2542,10,Cat2,A2,02,02,Item de teste 2442
Produto 2443,2543,10,Cat3,A3,03,03,Item de teste 2443
Produto 2444,2544,10,Cat4,A4,04,04,Item de teste 2444
Produto 2445,2545,10,Cat5,A0,05,05,Item de teste 2445
Produto 2446,2546,10,Cat6,A1,06,06,Item de teste 2446
Produto 2447,2547,10,Cat7,A2,07,07,Item de teste 2447
Produto 2448,2548,10,Cat8,A3,08,08,Item de teste 2448
Produto 2449,2549,10,Cat9,A4,09,09,Item de teste 2449
Produto 2450,2550,10,Cat0,A0,10,00,Item de teste 2450
Produto 2451,2551,10,Cat1,A1,11,01,Item de teste 2451
Produto 2452,2552,10,Cat2,A2,12,02,Item de teste 2452
Produto 2453,2553,10,Cat3,A3,13,03,Item de teste 2453
Produto 2454,2554,10,Cat4,A4,14,04,Item de teste 2454
Produto 2455,2555,10,Cat5,A0,15,05,Item de teste 2455
Produto 2456,2556,10,Cat6,A1,16,06,Item de teste 2456
Produto 2457,2557,10,Cat7,A2,17,07,Item de teste 2457
Produto 2458,2558,10,Cat8,A3,18,08,Item de teste 2458
Produto 2459,2559,10,Cat9,A4,19,09,Item de teste 2459
Produto 2460,2560,10,Cat0,A0,00,00,Item de teste 2460
Produto 2461,2561,10,Cat1,A1,01,01,Item de teste 2461
Produto 2462,2562,10,Cat2,A2,02,02,Item de teste 2462
Produto 2463,2563,10,Cat3,A3,03,03,Item de teste 2463
Produto 2464,2564,10,Cat4,A4,04,04,Item de teste 2464
Produto 2465,2565,10,Cat5,A0,05,05,Item de teste 2465
Produto 2466,2566,10,Cat6,A1,06,06,Item de teste 2466
Produto 2467,2567,10,Cat7,A2,07,07,Item de teste 2467
Produto 2468,2568,10,Cat8,A3,08,08,Item de teste 2468
Produto 2469,2569,10,Cat9,A4,09,09,Item de teste 2469
Produto 2470,2570,10,Cat0,A0,10,00,Item de teste 2470
Produto 2471,2571,10,Cat1,A1,11,01,Item de teste 2471
Produto 2472,2572,10,Cat2,A2,12,02,Item de teste 2472
Produto 2473,2573,10,Cat3,A3,13,03,Item de teste 2473
Produto 2474,2574,10,Cat4,A4,14,04,Item de teste 2474
Produto 2475,2575,10,Cat5,A0,15,05,Item de teste 2475
Produto 2476,2576,10,Cat6,A1,16,06,Item de teste 2476
Produto 2477,2577,10,Cat7,A2,17,07,Item de teste 2477
Produto 2478,2578,10,Cat8,A3,18,08,Item de teste 2478
Produto 2479,2579,10,Cat9,A4,19,09,Item de teste 2479
Produto 2480,2580,10,Cat0,A0,00,00,Item de teste 2480
Produto 2481,2581,10,Cat1,A1,01,01,Item de teste 2481
Produto 2482,2582,10,Cat2,A2,02,02,Item de teste 2482
Produto 2483,2583,10,Cat3,A3,03,03,Item de teste 2483
Produto 2484,2584,10,Cat4,A4,04,04,Item de teste 2484
Produto 2485,2585,10,Cat5,A0,05,05,Item de teste 2485
Produto 2486,2586,10,Cat6,A1,06,06,Item de teste 2486
Produto 2487,2587,10,Cat7,A2,07,07,Item de teste 2487
Produto 2488,2588,10,Cat8,A3,08,08,Item de teste 2488
Produto 2489,2589,10,Cat9,A4,09,09,Item de teste 2489
Produto 2490,2590,10,Cat0,A0,10,00,Item de teste 2490
Produto 2491,2591,10,Cat1,A1,11,01,Item de teste 2491
Produto 2492,2592,10,Cat2,A2,12,02,Item de teste 2492
Produto 2493,2593,10,Cat3,A3,13,03,Item de teste 2493
Produto 2494,2594,10,Cat4,A4,14,04,Item de teste 2494
Produto 2495,2595,10,Cat5,A0,15,05,Item de teste 2495
Produto 2496,2596,10,Cat6,A1,16,06,Item de teste 2496
Produto 2497,2597,10,Cat7,A2,17,07,Item de teste 2497
Produto 2498,2598,10,Cat8,A3,18,08,Item de teste 2498
Produto 2499,2599,10,Cat9,A4,19,09,Item de teste 2499
Produto 2500,2600,10,Cat0,A0,00,00,Item de teste 2500
Produto 2501,2601,10,Cat1,A1,01,01,Item de teste 2501
Produto 2502,2602,10,Cat2,A2,02,02,Item de teste 2502
Produto 2503,2603,10,Cat3,A3,03,03,Item de teste 2503
Produto 2504,2604,10,Cat4,A4,04,04,Item de teste 2504
Produto 2505,2605,10,Cat5,A0,05,05,Item de teste 2505
Produto 2506,2606,10,Cat6,A1,06,06,Item de teste 2506
Produto 2507,2607,10,Cat7,A2,07,07,Item de teste 2507
Produto 2508,2608,10,Cat8,A3,08,08,Item de teste 2508
Produto 2509,2609,10,Cat9,A4,09,09,Item de teste 2509
Produto 2510,2610,10,Cat0,A0,10,00,Item de teste 2510
Produto 2511,2611,10,Cat1,A1,11,01,Item de teste 2511
Produto 2512,2612,10,Cat2,A2,12,02,Item de teste 2512
Produto 2513,2613,10,Cat3,A3,13,03,Item de teste 2513
Produto 2514,2614,10,Cat4,A4,14,04,Item de teste 2514
Produto 2515,2615,10,Cat5,A0,15,05,Item de teste 2515
Produto 2516,2616,10,Cat6,A1,16,06,Item de teste 2516
Produto 2517,2617,10,Cat7,A2,17,07,Item de teste 2517
Produto 2518,2618,10,Cat8,A3,18,08,Item de teste 2518
Produto 2519,2619,10,Cat9,A4,19,09,Item de teste 2519
Produto 2520,2620,10,Cat0,A0,00,00,Item de teste 2520
Produto 2521,2621,10,Cat1,A1,01,01,Item de teste 2521
Produto 2522,2622,10,Cat2,A2,02,02,Item de teste 2522
Produto 2523,2623,10,Cat3,A3,03,03,Item de teste 2523
Produto 2524,2624,10,Cat4,A4,04,04,Item de teste 2524
Produto 2525,2625,10,Cat5,A0,05,05,Item de teste 2525
Produto 2526,2626,10,Cat6,A1,06,06,Item de teste 2526
Produto 2527,2627,10,Cat7,A2,07,07,Item de teste 2527
Produto 2528,2628,10,Cat8,A3,08,08,Item de teste 2528
Produto 2529,2629,10,Cat9,A4,09,09,Item de teste 2529
Produto 2530,2630,10,Cat0,A0,10,00,Item de teste 2530
Produto 2531,2631,10,Cat1,A1,11,01,Item de teste 2531
Produto 2532,2632,10,Cat2,A2,12,02,Item de teste 2532
Produto 2533,2633,10,Cat3,A3,13,03,Item de teste 2533
Produto 2534,2634,10,Cat4,A4,14,04,Item de teste 2534
Produto 2535,2635,10,Cat5,A0,15,05,Item de teste 2535
Produto 2536,2636,10,Cat6,A1,16,06,Item de teste 2536
Produto 2537,2637,10,Cat7,A2,17,07,Item de teste 2537
Produto 2538,2638,10,Cat8,A3,18,08,Item de teste 2538
Produto 2539,2639,10,Cat9,A4,19,09,Item de teste 2539
Produto 2540,2640,10,Cat0,A0,00,00,Item de teste 2540
Produto 2541,2641,10,Cat1,A1,01,01,Item de teste 2541
Produto 2542,2642,10,Cat2,A2,02,02,Item de teste 2542
Produto 2543,2643,10,Cat3,A3,03,03,Item de teste 2543
Produto 2544,2644,10,Cat4,A4,04,04,Item de teste 2544
Produto 2545,2645,10,Cat5,A0,05,05,Item de teste 2545
Produto 2546,2646,10,Cat6,A1,06,06,Item de teste 2546
Produto 2547,2647,10,Cat7,A2,07,07,Item de teste 2547
Produto 2548,2648,10,Cat8,A3,08,08,Item de teste 2548
Produto 2549,2649,10,Cat9,A4,09,09,Item de teste 2549
Produto 2550,2650,10,Cat0,A0,10,00,Item de teste 2550
Produto 2551,2651,10,Cat1,A1,11,01,Item de teste 2551
Produto 2552,2652,10,Cat2,A2,12,02,Item de teste 2552
Produto 2553,2653,10,Cat3,A3,13,03,Item de teste 2553
Produto 2554,2654,10,Cat4,A4,14,04,Item de teste 2554
Produto 2555,2655,10,Cat5,A0,15,05,Item de teste 2555
Produto 2556,2656,10,Cat6,A1,16,06,Item de teste 2556
Produto 2557,2657,10,Cat7,A2,17,07,Item de teste 2557
Produto 2558,2658,10,Cat8,A3,18,08,Item de teste 2558
Produto 2559,2659,10,Cat9,A4,19,09,Item de teste 2559
Produto 2560,2660,10,Cat0,A0,00,00,Item de teste 2560
Produto 2561,2661,10,Cat1,A1,01,01,Item de teste 2561
Produto 2562,2662,10,Cat2,A2,02,02,Item de teste 2562
Produto 2563,2663,10,Cat3,A3,03,03,Item de teste 2563
Produto 2564,2664,10,Cat4,A4,04,04,Item de teste 2564
Produto 2565,2665,10,Cat5,A0,05,05,Item de teste 2565
Produto 2566,2666,10,Cat6,A1,06,06,Item de teste 2566
Produto 2567,2667,10,Cat7,A2,07,07,Item de teste 2567
Produto 2568,2668,10,Cat8,A3,08,08,Item de teste 2568
Produto 2569,2669,10,Cat9,A4,09,09,Item de teste 2569
Produto 2570,2670,10,Cat0,A0,10,00,Item de teste 2570
Produto 2571,2671,10,Cat1,A1,11,01,Item de teste 2571
Produto 2572,2672,10,Cat2,A2,12,02,Item de teste 2572
Produto 2573,2673,10,Cat3,A3,13,03,Item de teste 2573
Produto 2574,2674,10,Cat4,A4,14,04,Item de teste 2574
Produto 2575,2675,10,Cat5,A0,15,05,Item de teste 2575
Produto 2576,2676,10,Cat6,A1,16,06,Item de teste 2576
Produto 2577,2677,10,Cat7,A2,17,07,Item de teste 2577
Produto 2578,2678,10,Cat8,A3,18,08,Item de teste 2578
Produto 2579,2679,10,Cat9,A4,19,09,Item de teste 2579
Produto 2580,2680,10,Cat0,A0,00,00,Item de teste 2580
Produto 2581,2681,10,Cat1,A1,01,01,Item de teste 2581
Produto 2582,2682,10,Cat2,A2,02,02,Item de teste 2582
Produto 2583,2683,10,Cat3,A3,03,03,Item de teste 2583
Produto 2584,2684,10,Cat4,A4,04,04,Item de teste 2584
Produto 2585,2685,10,Cat5,A0,05,05,Item de teste 2585
Produto 2586,2686,10,Cat6,A1,06,06,Item de teste 2586
Produto 2587,2687,10,Cat7,A2,07,07,Item de teste 2587
Produto 2588,2688,10,Cat8,A3,08,08,Item de teste 2588
Produto 2589,2689,10,Cat9,A4,09,09,Item de teste 2589
Produto 2590,2690,10,Cat0,A0,10,00,Item de teste 2590
Produto 2591,2691,10,Cat1,A1,11,01,Item de teste 2591
Produto 2592,2692,10,Cat2,A2,12,02,Item de teste 2592
Produto 2593,2693,10,Cat3,A3,13,03,Item de teste 2593
Produto 2594,2694,10,Cat4,A4,14,04,Item de teste 2594
Produto 2595,2695,10,Cat5,A0,15,05,Item de teste 2595
Produto 2596,2696,10,Cat6,A1,16,06,Item de teste 2596
Produto 2597,2697,10,Cat7,A2,17,07,Item de teste 2597
Produto 2598,2698,10,Cat8,A3,18,08,Item de teste 2598
Produto 2599,2699,10,Cat9,A4,19,09,Item de teste 2599
Produto 2600,2700,10,Cat0,A0,00,00,Item de teste 2600
Produto 2601,2701,10,Cat1,A1,01,01,Item de teste 2601
Produto 2602,2702,10,Cat2,A2,02,02,Item de teste 2602
Produto 2603,2703,10,Cat3,A3,03,03,Item de teste 2603
Produto 2604,2704,10,Cat4,A4,04,04,Item de teste 2604
Produto 2605,2705,10,Cat5,A0,05,05,Item de teste 2605
Produto 2606,2706,10,Cat6,A1,06,06,Item de teste 2606
Produto 2607,2707,10,Cat7,A2,07,07,Item de teste 2607
Produto 2608,2708,10,Cat8,A3,08,08,Item de teste 2608
Produto 2609,2709,10,Cat9,A4,09,09,Item de teste 2609
Produto 2610,2710,10,Cat0,A0,10,00,Item de teste 2610
Produto 2611,2711,10,Cat1,A1,11,01,Item de teste 2611
Produto 2612,2712,10,Cat2,A2,12,02,Item de teste 2612
Produto 2613,2713,10,Cat3,A3,13,03,Item de teste 2613
Produto 2614,2714,10,Cat4,A4,14,04,Item de teste 2614
Produto 2615,2715,10,Cat5,A0,15,05,Item de teste 2615
Produto 2616,2716,10,Cat6,A1,16,06,Item de teste 2616
Produto 2617,2717,10,Cat7,A2,17,07,Item de teste 2617
Produto 2618,2718,10,Cat8,A3,18,08,Item de teste 2618
Produto 2619,2719,10,Cat9,A4,19,09,Item de teste 2619
Produto 2620,2720,10,Cat0,A0,00,00,Item de teste 2620
Produto 2621,2721,10,Cat1,A1,01,01,Item de teste 2621
Produto 2622,2722,10,Cat2,A2,02,02,Item de teste 2622
Produto 2623,2723,10,Cat3,A3,03,03,Item de teste 2623
Produto 2624,2724,10,Cat4,A4,04,04,Item de teste 2624
Produto 2625,2725,10,Cat5,A0,05,05,Item de teste 2625
Produto 2626,2726,10,Cat6,A1,06,06,Item de teste 2626
Produto 2627,2727,10,Cat7,A2,07,07,Item de teste 2627
Produto 2628,2728,10,Cat8,A3,08,08,Item de teste 2628
Produto 2629,2729,10,Cat9,A4,09,09,Item de teste 2629
Produto 2630,2730,10,Cat0,A0,10,00,Item de teste 2630
Produto 2631,2731,10,Cat1,A1,11,01,Item de teste 2631
Produto 2632,2732,10,Cat2,A2,12,02,Item de teste 2632
Produto 2633,2733,10,Cat3,A3,13,03,Item de teste 2633
Produto 2634,2734,10,Cat4,A4,14,04,Item de teste 2634
Produto 2635,2735,10,Cat5,A0,15,05,Item de teste 2635
Produto 2636,2736,10,Cat6,A1,16,06,Item de teste 2636
Produto 2637,2737,10,Cat7,A2,17,07,Item de teste 2637
Produto 2638,2738,10,Cat8,A3,18,08,Item de teste 2638
Produto 2639,2739,10,Cat9,A4,19,09,Item de teste 2639
Produto 2640,2740,10,Cat0,A0,00,00,Item de teste 2640
Produto 2641,2741,10,Cat1,A1,01,01,Item de teste 2641
Produto 2642,2742,10,Cat2,A2,02,02,Item de teste 2642
Produto 2643,2743,10,Cat3,A3,03,03,Item de teste 2643
Produto 2644,2744,10,Cat4,A4,04,04,Item de teste 2644
Produto 2645,2745,10,Cat5,A0,05,05,Item de teste 2645
Produto 2646,2746,10,Cat6,A1,06,06,Item de teste 2646
Produto 2647,2747,10,Cat7,A2,07,07,Item de teste 2647
Produto 2648,2748,10,Cat8,A3,08,08,Item de teste 2648
Produto 2649,2749,10,Cat9,A4,09,09,Item de teste 2649
Produto 2650,2750,10,Cat0,A0,10,00,Item de teste 2650
Produto 2651,2751,10,Cat1,A1,11,01,Item de teste 2651
Produto 2652,2752,10,Cat2,A2,12,02,Item de teste 2652
Produto 2653,2753,10,Cat3,A3,13,03,Item de teste 2653
Produto 2654,2754,10,Cat4,A4,14,04,Item de teste 2654
Produto 2655,2755,10,Cat5,A0,15,05,Item de teste 2655
Produto 2656,2756,10,Cat6,A1,16,06,Item de teste 2656
Produto 2657,2757,10,Cat7,A2,17,07,Item de teste 2657
Produto 2658,2758,10,Cat8,A3,18,08,Item de teste 2658
Produto 2659,2759,10,Cat9,A4,19,09,Item de teste 2659
Produto 2660,2760,10,Cat0,A0,00,00,Item de teste 2660
Produto 2661,2761,10,Cat1,A1,01,01,Item de teste 2661
Produto 2662,2762,10,Cat2,A2,02,02,Item de teste 2662
Produto 2663,2763,10,Cat3,A3,03,03,Item de teste 2663
Produto 2664,2764,10,Cat4,A4,04,04,Item de teste 2664
Produto 2665,2765,10,Cat5,A0,05,05,Item de teste 2665
Produto 2666,2766,10,Cat6,A1,06,06,Item de teste 2666
Produto 2667,2767,10,Cat7,A2,07,07,Item de teste 2667
Produto 2668,2768,10,Cat8,A3,08,08,Item de teste 2668
Produto 2669,2769,10,Cat9,A4,09,09,Item de teste 2669
Produto 2670,2770,10,Cat0,A0,10,00,Item de teste 2670
Produto 2671,2771,10,Cat1,A1,11,01,Item de teste 2671
Produto 2672,2772,10,Cat2,A2,12,02,Item de teste 2672
Produto 2673,2773,10,Cat3,A3,13,03,Item de teste 2673
Produto 2674,2774,10,Cat4,A4,14,04,Item de teste 2674
Produto 2675,2775,10,Cat5,A0,15,05,Item de teste 2675
Produto 2676,2776,10,Cat6,A1,16,06,Item de teste 2676
Produto 2677,2777,10,Cat7,A2,17,07,Item de teste 2677
Produto 2678,2778,10,Cat8,A3,18,08,Item de teste 2678
Produto 2679,2779,10,Cat9,A4,19,09,Item de teste 2679
Produto 2680,2780,10,Cat0,A0,00,00,Item de teste 2680
Produto 2681,2781,10,Cat1,A1,01,01,Item de teste 2681
Produto 2682,2782,10,Cat2,A2,02,02,Item de teste 2682
Produto 2683,2783,10,Cat3,A3,03,03,Item de teste 2683
Produto 2684,2784,10,Cat4,A4,04,04,Item de teste 2684
Produto 2685,2785,10,Cat5,A0,05,05,Item de teste 2685
Produto 2686,2786,10,Cat6,A1,06,06,Item de teste 2686
Produto 2687,2787,10,Cat7,A2,07,07,Item de teste 2687
Produto 2688,2788,10,Cat8,A3,08,08,Item de teste 2688
Produto 2689,2789,10,Cat9,A4,09,09,Item de teste 2689
Produto 2690,2790,10,Cat0,A0,10,00,Item de teste 2690
Produto 2691,2791,10,Cat1,A1,11,01,Item de teste 2691
Produto 2692,2792,10,Cat2,A2,12,02,Item de teste 2692
Produto 2693,2793,10,Cat3,A3,13,03,Item de teste 2693
Produto 2694,2794,10,Cat4,A4,14,04,Item de teste 2694
Produto 2695,2795,10,Cat5,A0,15,05,Item de teste 2695
Produto 2696,2796,10,Cat6,A1,16,06,Item de teste 2696
Produto 2697,2797,10,Cat7,A2,17,07,Item de teste 2697
Produto 2698,2798,10,Cat8,A3,18,08,Item de teste 2698
Produto 2699,2799,10,Cat9,A4,19,09,Item de teste 2699
Produto 2700,2800,10,Cat0,A0,00,00,Item de teste 2700
Produto 2701,2801,10,Cat1,A1,01,01,Item de teste 2701
Produto 2702,2802,10,Cat2,A2,02,02,Item de teste 2702
Produto 2703,2803,10,Cat3,A3,03,03,Item de teste 2703
Produto 2704,2804,10,Cat4,A4,04,04,Item de teste 2704
Produto 2705,2805,10,Cat5,A0,05,05,Item de teste 2705
Produto 2706,2806,10,Cat6,A1,06,06,Item de teste 2706
Produto 2707,2807,10,Cat7,A2,07,07,Item de teste 2707
Produto 2708,2808,10,Cat8,A3,08,08,Item de teste 2708
Produto 2709,2809,10,Cat9,A4,09,09,Item de teste 2709
Produto 2710,2810,10,Cat0,A0,10,00,Item de teste 2710
Produto 2711,2811,10,Cat1,A1,11,01,Item de teste 2711
Produto 2712,2812,10,Cat2,A2,12,02,Item de teste 2712
Produto 2713,2813,10,Cat3,A3,13,03,Item de teste 2713
Produto 2714,2814,10,Cat4,A4,14,04,Item de teste 2714
Produto 2715,2815,10,Cat5,A0,15,05,Item de teste 2715
Produto 2716,2816,10,Cat6,A1,16,06,Item de teste 2716
Produto 2717,2817,10,Cat7,A2,17,07,Item de teste 2717
Produto 2718,2818,10,Cat8,A3,18,08,Item de teste 2718
Produto 2719,2819,10,Cat9,A4,19,09,Item de teste 2719
Produto 2720,2820,10,Cat0,A0,00,00,Item de teste 2720
Produto 2721,2821,10,Cat1,A1,01,01,Item de teste 2721
Produto 2722,2822,10,Cat2,A2,02,02,Item de teste 2722
Produto 2723,2823,10,Cat3,A3,03,03,Item de teste 2723
Produto 2724,2824,10,Cat4,A4,04,04,Item de teste 2724
Produto 2725,2825,10,Cat5,A0,05,05,Item de teste 2725
Produto 2726,2826,10,Cat6,A1,06,06,Item de teste 2726
Produto 2727,2827,10,Cat7,A2,07,07,Item de teste 2727
